StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q237,Q138,Q5,Q6,Q2,Q3,Q8,Q133,Q11,Q12,Q236,Q238,Q239,Q240,Q241,Q243,Q244,Q148,Q149,Q64,Q254,Q255,Q256,Q257,Q259,Q260,Q263,Q264,Q137,Q267,Q268,Q269,Q270,Q272,Q273,Q276,Q277,Q96,Q280,Q281,Q282,Q283,Q285,Q286,Q289,Q290,Q182,Q293,Q294,Q295,Q296,Q298,Q299,Q302,Q303,Q128,Q306,Q307,Q308,Q309,Q311,Q312,Q315,Q316,Q183,Q319,Q320,Q321,Q322,Q324,Q325,Q328,Q329,Q333
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Do you agree to all the following (if you do not agree, please exit the survey):

 

	I am age 18 or older.
	My country of residence is the US.
	My approval rate on the Prolific platform is greater than 95%.
	I have previously completed at least 5 studies on the Prolific platform.
	I have read and understand the information above.
	I want to participate in this research and continue with the survey.",Which of the following reactions was mentioned by a reviewer?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a perfume store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,Which of the following reactions was mentioned by a reviewer?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a perfume store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,Which of the following was described in the reviews?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a perfume store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,Which of the following was described in the reviews?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a perfume store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,Which of the following reactions was mentioned by a reviewer?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a department store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,Which of the following reactions was mentioned by a reviewer?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a department store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,Which of the following was mentioned by a reviewer?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a department store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,Which of the following was mentioned by a reviewer?,How would you describe your overall impression of this product?,"How strongly do you agree or disagree with the following statement:

I think I will like this product.",How likely are you to purchase this product?,"Next time you are in a department store, how likely are you to buy this product?",How much did the star ratings influence your impression of the product?,How much did the written reviews influence your impression of the product?,What is your age?,What is your gender?,"Congratulations, you've finished the study! We really appreciate your diligence and your help with our research. Is there anything that you want to tell us about this study? If so, please enter it into the box below. Thanks again!"
25/07/2025 10:33,25/07/2025 10:34,1,124,100,60,1,25/07/2025 10:34,R8K3W9,,,,,x,y,,EN,1,1,5,3,6,2,7,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2025 10:34,25/07/2025 10:35,0,125,75,60,0,25/07/2025 10:35,T2Z7PQ,,,,,x,y,,EN,1,,,,,,,,,,1,1,7,2,3,6,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2025 10:35,25/07/2025 10:36,1,126,100,60,1,25/07/2025 10:36,M1X6D4,,,,,x,y,,EN,1,,,,,,,,,,,,,,,,,,,1,4,2,1,7,3,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nice
25/07/2025 10:36,25/07/2025 10:37,1,127,100,60,1,25/07/2025 10:37,B9Q2L7,,,,,x,y,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,4,1,5,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2025 10:37,25/07/2025 10:38,1,128,100,60,1,25/07/2025 10:38,H5J8K2,,,,,x,y,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,5,6,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2025 10:38,25/07/2025 10:39,1,129,100,60,1,25/07/2025 10:39,A3R9TN,,,,,x,y,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,4,7,5,4,7,7,2,,,,,,,,,,,,,,,,,,,GOOD
25/07/2025 10:39,25/07/2025 10:40,1,130,100,60,1,25/07/2025 10:40,P0X4M6,,,,,x,y,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,3,4,2,1,5,3,,,,,,,,,,
25/07/2025 10:50,25/07/2025 10:51,1,131,100,60,1,25/07/2025 10:51,N7W1K8,,,,,x,y,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,2,6,5,3,4,
25/07/2025 10:45,25/07/2025 10:46,1,132,100,60,1,25/07/2025 10:46,C6D5V3,,,,,x,y,,EN,1,,,,,,,,,,1,1,3,2,7,5,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,